100 3000 10
9 36 9 37
44 65 44 64
1 37 1 36
76 75 76 76
20 58 20 59
45 43 45 44
59 42 60 42
90 31 90 32
30 53 29 53
41 96 41 97
91 49 91 50
85 84 86 84
64 5 65 5
65 76 65 75
13 57 12 57
68 59 67 59
93 19 93 20
84 20 83 20
61 34 61 33
80 89 80 90
84 11 84 10
87 69 87 70
41 81 41 82
70 5 69 5
31 81 31 80
30 96 29 96
56 13 55 13
57 22 57 21
4 6 4 5
8 38 8 37
48 56 49 56
32 68 32 69
73 88 74 88
22 23 21 23
79 49 80 49
64 75 65 75
30 60 30 59
59 33 58 33
60 37 61 37
10 57 10 56
76 39 76 40
89 33 89 34
39 26 39 27
62 14 63 14
49 74 49 73
74 38 74 37
3 85 3 86
36 2 35 2
78 96 78 97
37 30 37 29
29 82 30 82
80 33 81 33
81 13 80 13
40 57 39 57
75 47 76 47
12 38 12 37
96 54 97 54
26 17 26 16
68 65 68 64
22 33 22 34
38 96 38 95
15 60 14 60
19 97 20 97
87 93 87 94
72 47 71 47
51 2 51 1
69 16 69 17
48 87 48 86
75 49 75 48
14 87 15 87
61 4 61 3
79 29 78 29
82 60 82 59
84 53 83 53
18 6 17 6
39 64 38 64
13 31 14 31
50 59 50 58
86 96 86 97
76 96 77 96
54 84 53 84
63 79 63 80
36 5 36 4
28 57 28 58
31 47 30 47
88 48 88 47
8 51 8 50
25 16 25 17
12 85 13 85
83 82 82 82
7 43 8 43
17 73 18 73
9 98 10 98
76 28 77 28
43 19 42 19
36 19 37 19
70 33 71 33
15 85 14 85
17 2 17 1
31 76 31 75
3 23 3 22
7 17 7 18
68 15 67 15
61 58 61 57
66 76 65 76
58 65 59 65
79 6 79 5
59 83 58 83
8 62 8 63
55 88 54 88
63 92 63 93
10 11 10 10
78 19 77 19
17 36 17 35
49 77 49 76
59 65 59 66
13 90 12 90
84 84 85 84
56 58 57 58
53 44 53 45
52 54 51 54
41 55 41 54
86 33 86 32
20 88 20 89
9 12 8 12
12 56 11 56
96 95 96 94
17 72 16 72
76 72 76 71
86 16 86 17
46 86 46 87
93 7 93 6
77 40 77 39
14 74 15 74
20 85 20 86
29 14 29 13
72 48 71 48
98 36 99 36
55 72 54 72
78 85 78 84
4 24 4 23
90 98 90 97
44 45 43 45
24 19 24 20
9 19 8 19
12 96 13 96
49 54 49 55
44 21 44 20
40 93 40 92
73 77 72 77
7 20 8 20
97 80 96 80
87 11 87 10
57 85 57 86
63 78 63 79
54 35 55 35
97 66 96 66
45 56 44 56
37 87 37 88
68 86 68 85
6 29 6 30
77 8 76 8
27 39 28 39
18 98 18 97
38 42 37 42
1 64 1 65
23 17 23 18
69 91 70 91
65 72 65 71
10 51 9 51
56 3 56 4
10 41 10 42
74 52 74 53
38 15 38 16
3 42 4 42
80 59 80 58
12 56 11 56
32 56 32 57
68 11 68 12
40 96 40 95
29 43 30 43
10 66 9 66
68 66 69 66
45 45 46 45
31 14 32 14
33 26 34 26
78 20 77 20
23 81 23 82
60 97 60 98
88 73 88 72
81 41 82 41
57 9 57 10
57 81 57 80
36 76 35 76
46 65 45 65
40 60 40 61
5 8 5 7
37 10 36 10
79 77 79 78
60 75 59 75
58 74 59 74
42 78 42 79
65 20 64 20
58 14 58 13
92 11 93 11
6 32 6 33
57 68 58 68
47 48 47 47
50 53 50 52
87 77 86 77
81 83 81 82
9 43 8 43
72 87 72 88
37 33 38 33
43 11 44 11
45 40 45 41
17 77 16 77
40 72 40 73
83 43 84 43
86 90 85 90
83 86 83 87
66 47 65 47
47 40 48 40
28 44 28 45
25 29 26 29
20 10 20 9
13 65 12 65
85 44 86 44
77 49 78 49
21 24 22 24
93 57 92 57
53 47 54 47
57 79 57 78
97 96 97 97
30 69 31 69
40 61 41 61
48 87 48 88
60 37 60 38
65 68 65 69
21 26 22 26
33 7 33 8
48 71 47 71
92 67 91 67
37 11 38 11
35 58 36 58
56 12 57 12
58 45 57 45
54 7 54 8
65 48 66 48
50 11 50 10
29 4 29 3
13 92 13 91
19 18 18 18
37 61 38 61
98 91 98 92
58 79 57 79
11 3 11 2
28 20 28 21
15 37 16 37
39 16 38 16
31 54 31 55
9 15 9 16
77 69 76 69
81 66 82 66
92 19 92 18
55 1 55 0
31 74 31 75
24 86 23 86
68 47 67 47
68 70 67 70
50 61 49 61
82 50 82 49
33 96 32 96
46 9 46 8
31 94 30 94
75 95 75 94
18 6 18 5
70 44 71 44
88 60 88 61
81 24 82 24
9 92 9 93
5 38 6 38
6 26 5 26
41 40 41 41
70 61 70 60
5 97 6 97
37 46 36 46
84 43 84 42
16 48 16 49
52 96 52 97
50 44 51 44
64 89 64 90
48 67 48 66
11 94 11 95
11 56 12 56
70 38 70 37
14 11 14 10
85 38 85 37
58 78 58 79
22 89 22 90
45 58 44 58
94 46 94 47
36 82 35 82
10 86 10 87
47 66 48 66
4 19 4 20
5 17 4 17
31 83 31 82
47 50 46 50
78 20 78 21
48 48 48 49
98 10 99 10
68 47 68 48
41 84 41 83
32 15 31 15
95 24 95 25
67 50 66 50
34 34 34 35
28 79 28 78
89 63 90 63
16 18 15 18
58 23 58 24
12 88 12 87
86 45 85 45
71 70 71 69
39 21 40 21
47 66 48 66
16 26 17 26
31 64 30 64
47 71 47 70
60 71 61 71
79 12 78 12
40 51 40 52
68 53 68 54
74 10 75 10
41 83 40 83
58 60 58 59
17 71 18 71
17 56 16 56
16 67 17 67
39 22 40 22
42 91 43 91
45 67 45 66
11 33 12 33
82 71 82 70
17 81 17 80
79 69 78 69
65 83 66 83
76 75 77 75
22 85 22 84
73 6 72 6
11 6 11 5
84 27 84 28
80 82 79 82
64 81 64 80
83 39 83 40
32 88 32 89
39 59 38 59
89 8 90 8
57 54 57 55
60 27 60 26
78 19 78 18
92 41 92 40
52 17 52 16
66 72 65 72
41 31 41 32
16 35 16 36
32 19 31 19
7 38 7 39
79 54 80 54
21 42 21 41
25 98 26 98
64 66 64 67
64 40 64 41
3 12 3 13
65 59 66 59
28 75 28 74
7 7 7 6
64 77 64 78
37 69 36 69
14 56 15 56
34 94 34 93
98 52 98 51
6 52 5 52
73 72 74 72
47 71 47 70
10 50 10 51
98 71 98 70
80 88 79 88
17 13 17 14
48 44 48 43
97 19 98 19
78 66 78 67
65 6 64 6
5 18 5 17
61 67 61 68
20 78 21 78
42 79 42 78
21 51 21 50
76 44 76 45
91 73 91 72
61 3 61 2
43 87 42 87
54 75 54 74
93 89 92 89
77 61 77 60
84 75 85 75
93 7 93 8
22 68 22 69
19 88 20 88
5 74 4 74
25 3 25 4
41 54 42 54
53 89 54 89
53 65 53 66
95 94 94 94
91 18 92 18
72 42 72 43
68 49 68 48
23 59 23 58
70 46 70 45
79 62 80 62
32 36 32 35
29 39 29 38
91 27 91 28
41 62 41 61
72 93 72 92
37 16 37 17
51 45 52 45
38 6 38 5
92 11 92 10
57 84 57 83
96 62 97 62
26 69 26 68
72 90 72 89
18 14 19 14
32 7 33 7
82 30 81 30
13 53 13 52
92 61 91 61
88 18 87 18
71 21 71 22
84 61 84 62
84 26 84 25
42 37 41 37
12 84 13 84
69 95 68 95
23 54 24 54
5 51 5 52
24 96 24 95
5 2 5 1
73 78 72 78
43 37 43 38
83 70 83 71
18 65 18 66
35 25 34 25
43 21 43 22
83 33 84 33
2 95 2 94
38 73 39 73
23 79 23 80
55 66 55 65
12 52 11 52
24 18 24 19
42 32 41 32
34 50 35 50
58 97 58 96
43 39 42 39
34 84 34 83
89 31 88 31
86 16 86 17
40 21 40 22
88 65 88 64
89 16 89 15
48 79 49 79
29 18 29 19
20 59 20 58
54 90 54 91
97 69 98 69
98 32 97 32
68 58 68 57
10 73 9 73
8 71 9 71
74 69 75 69
22 42 22 43
15 88 16 88
92 75 92 76
12 66 12 67
8 59 9 59
66 54 66 55
73 8 73 9
87 40 86 40
51 33 50 33
96 28 95 28
6 55 6 54
90 9 89 9
9 61 8 61
37 53 38 53
18 83 18 84
48 49 48 50
49 49 48 49
88 85 89 85
84 45 83 45
23 69 23 70
68 17 69 17
1 97 0 97
39 60 39 61
69 49 70 49
32 59 32 58
20 36 21 36
93 98 92 98
5 85 5 86
79 3 80 3
27 9 26 9
77 5 77 6
77 87 76 87
32 95 31 95
52 57 53 57
70 28 69 28
18 65 18 64
30 94 30 93
74 77 74 76
31 39 32 39
85 67 86 67
53 39 53 38
8 72 9 72
81 87 81 88
72 64 71 64
45 83 45 84
68 41 68 42
53 20 53 19
49 24 49 25
31 29 31 28
91 19 91 20
8 72 8 73
54 72 55 72
50 32 50 31
27 43 26 43
58 48 57 48
69 93 70 93
7 35 7 36
87 78 86 78
10 25 11 25
62 27 62 26
39 2 40 2
25 95 24 95
96 97 96 98
32 90 33 90
51 31 51 30
37 49 37 50
69 84 69 83
40 34 40 33
66 64 66 65
13 93 13 94
98 41 99 41
48 41 48 42
6 73 7 73
95 19 94 19
34 71 34 72
38 20 39 20
43 30 43 31
73 32 73 33
71 84 71 83
33 98 33 99
93 83 93 84
59 22 59 21
22 18 22 19
24 70 23 70
68 5 67 5
86 7 85 7
53 18 54 18
9 91 10 91
2 28 2 29
48 8 48 9
85 63 84 63
1 69 1 70
2 3 2 2
69 37 68 37
65 90 65 91
23 14 22 14
68 20 69 20
25 80 25 79
46 35 46 36
11 48 11 49
59 73 60 73
90 29 90 28
88 11 87 11
12 52 12 53
49 71 49 72
8 82 7 82
90 22 89 22
64 56 64 55
73 13 72 13
30 28 30 29
35 6 34 6
88 36 87 36
23 41 22 41
27 76 28 76
97 92 97 93
10 39 11 39
73 31 73 32
87 70 87 69
50 97 51 97
89 93 88 93
65 96 65 95
7 13 7 14
30 10 30 9
78 79 78 80
42 4 42 3
58 63 59 63
46 71 46 72
56 24 56 25
11 80 11 79
32 92 31 92
11 35 12 35
49 92 50 92
95 50 95 49
47 14 46 14
1 40 1 41
47 98 47 97
14 17 13 17
24 56 24 57
72 72 72 73
14 4 13 4
46 71 45 71
77 77 77 76
50 2 50 1
53 50 52 50
93 72 94 72
74 67 75 67
88 49 89 49
18 35 18 34
35 64 36 64
9 22 9 23
36 54 36 53
62 10 62 9
33 32 33 33
77 79 78 79
59 14 60 14
39 1 39 2
43 80 43 81
43 57 43 56
56 84 57 84
39 42 40 42
62 41 63 41
51 41 51 40
95 89 95 90
74 32 74 31
49 36 49 37
47 15 48 15
76 70 77 70
88 71 87 71
94 60 95 60
57 38 56 38
53 87 53 88
18 82 18 81
31 33 32 33
92 55 92 56
10 58 10 59
75 52 75 53
70 5 70 4
90 69 89 69
14 32 14 31
22 83 21 83
73 83 73 84
97 43 97 44
14 2 13 2
34 29 35 29
58 48 58 49
60 87 61 87
45 4 45 5
14 38 14 39
11 15 12 15
45 40 45 39
59 27 59 28
45 61 44 61
57 93 57 94
41 9 41 8
6 91 5 91
3 44 2 44
87 22 88 22
67 23 68 23
43 72 43 73
60 30 60 31
81 24 82 24
82 85 82 86
51 4 52 4
58 76 58 77
50 1 51 1
27 36 26 36
74 14 75 14
47 42 48 42
59 15 59 14
86 63 86 62
77 50 77 51
76 15 76 14
46 59 47 59
87 91 87 90
79 76 78 76
87 18 87 17
16 31 16 30
15 24 15 23
89 19 89 20
54 77 55 77
74 50 74 51
24 63 25 63
72 22 72 23
37 18 38 18
41 58 40 58
46 2 46 3
18 25 18 26
72 65 72 66
53 88 53 89
54 91 54 92
63 22 62 22
73 4 74 4
38 5 38 4
29 69 29 68
22 59 22 60
71 66 70 66
74 15 74 14
70 47 69 47
98 93 98 94
70 28 70 29
14 95 15 95
39 5 39 6
34 45 33 45
57 16 58 16
27 95 27 94
91 79 91 80
22 79 23 79
27 27 26 27
73 45 73 44
77 69 78 69
42 91 42 90
38 74 38 73
66 87 65 87
18 97 18 98
8 36 9 36
90 17 91 17
19 92 19 91
32 98 32 99
63 19 63 18
81 54 81 55
58 10 57 10
52 66 52 65
89 48 89 49
63 42 62 42
94 12 94 13
82 86 82 85
9 69 9 70
28 55 29 55
64 35 64 34
37 44 38 44
73 63 73 62
88 98 87 98
6 13 6 14
3 16 4 16
57 59 56 59
55 26 56 26
84 39 85 39
36 12 36 11
33 11 33 10
86 84 87 84
7 51 7 50
93 90 94 90
55 84 54 84
91 13 90 13
28 62 27 62
17 76 18 76
67 88 67 89
2 2 2 1
16 55 17 55
62 10 63 10
50 12 49 12
14 41 14 40
39 18 39 19
97 18 98 18
9 68 8 68
79 84 80 84
57 45 58 45
81 96 82 96
53 79 53 80
28 12 27 12
18 97 17 97
76 94 76 95
45 55 45 54
18 32 18 31
83 11 84 11
71 77 71 76
89 4 89 3
27 67 28 67
96 51 96 50
83 7 84 7
64 50 63 50
31 64 30 64
68 2 68 1
41 17 41 18
73 54 73 53
70 88 71 88
98 61 97 61
3 76 2 76
2 34 3 34
6 8 6 9
65 37 65 38
55 90 55 91
11 82 12 82
36 11 36 10
11 66 12 66
20 69 20 68
51 76 50 76
40 90 40 91
94 31 93 31
32 12 32 13
15 59 14 59
40 86 41 86
16 2 17 2
90 2 91 2
64 45 64 44
22 48 23 48
96 35 95 35
4 43 4 44
35 68 34 68
34 92 33 92
64 59 64 58
8 64 9 64
48 21 48 20
14 74 13 74
30 95 29 95
6 2 7 2
6 61 6 60
50 20 51 20
5 71 5 72
29 42 30 42
54 93 54 92
35 10 35 9
16 65 15 65
23 29 22 29
52 9 52 10
37 40 37 39
12 71 12 72
2 48 3 48
38 73 38 72
95 80 96 80
60 48 60 49
26 94 27 94
20 1 20 2
4 30 4 29
82 89 81 89
43 1 43 2
95 94 95 93
14 27 15 27
54 63 53 63
19 92 19 91
12 6 13 6
67 53 67 52
59 96 58 96
75 13 76 13
82 51 81 51
76 73 75 73
56 85 57 85
31 38 31 37
41 51 41 50
41 58 41 57
30 10 31 10
18 75 17 75
20 14 21 14
58 60 58 59
53 16 53 15
27 58 27 57
60 34 59 34
12 21 12 20
91 90 90 90
28 42 29 42
12 92 13 92
46 51 45 51
87 39 87 38
23 4 23 5
58 72 59 72
13 60 12 60
18 16 17 16
8 29 9 29
26 52 26 51
88 81 87 81
75 76 75 75
10 3 9 3
26 83 26 84
17 12 17 11
16 6 16 7
7 22 7 23
93 51 93 52
4 49 4 50
23 46 24 46
24 36 24 35
58 20 57 20
79 80 80 80
83 38 83 39
53 71 53 72
8 12 8 11
50 18 50 19
26 83 27 83
81 70 80 70
49 92 49 91
62 70 62 71
45 73 45 72
50 35 51 35
4 41 5 41
4 36 3 36
61 68 61 67
75 30 76 30
13 32 14 32
35 69 34 69
98 29 98 30
46 23 47 23
31 76 31 75
95 90 95 89
76 4 76 3
73 73 74 73
73 25 73 26
70 40 71 40
63 5 62 5
8 30 9 30
3 68 3 69
1 43 2 43
17 44 18 44
42 8 41 8
19 76 20 76
15 68 15 67
10 48 10 49
76 13 76 12
39 42 40 42
21 94 21 95
82 63 82 62
23 91 23 90
29 86 30 86
49 40 49 39
17 23 16 23
90 74 90 75
73 5 74 5
78 41 79 41
82 73 81 73
64 19 64 18
96 10 97 10
45 41 46 41
82 12 82 11
58 2 58 1
27 32 26 32
45 33 44 33
93 1 92 1
50 57 50 58
22 53 22 54
49 45 49 46
13 62 14 62
21 58 20 58
5 38 4 38
41 34 40 34
10 44 11 44
49 21 48 21
71 12 71 11
77 79 77 80
91 4 91 5
84 22 84 23
21 7 20 7
43 27 44 27
53 90 53 89
85 37 85 36
31 13 30 13
51 74 51 75
20 7 20 6
1 55 0 55
38 85 38 86
26 13 25 13
27 22 27 21
11 61 10 61
40 51 40 52
63 85 63 84
12 83 12 84
24 48 24 49
48 24 48 25
6 34 6 35
60 34 61 34
35 73 34 73
20 97 19 97
11 86 11 85
70 53 71 53
71 8 71 9
67 54 67 55
74 31 74 32
39 11 39 12
92 5 93 5
16 97 16 98
23 22 24 22
25 17 24 17
55 11 55 12
26 81 27 81
77 34 77 33
94 9 93 9
50 72 50 73
71 42 71 41
67 59 66 59
90 80 90 81
15 54 16 54
19 73 18 73
14 73 13 73
37 69 37 68
53 34 53 35
84 63 84 64
5 23 5 22
52 19 52 20
5 51 5 50
89 31 88 31
96 61 96 60
48 3 48 2
39 40 39 39
63 90 62 90
30 18 30 17
96 57 96 56
35 94 35 95
78 83 77 83
25 57 26 57
53 95 53 96
98 67 98 66
8 66 9 66
9 40 9 41
18 68 17 68
23 25 24 25
8 32 7 32
59 7 59 6
91 26 91 25
48 60 48 61
82 16 81 16
31 48 31 49
77 58 78 58
61 76 61 75
45 21 45 20
96 89 95 89
37 4 37 5
7 21 8 21
29 83 30 83
87 27 87 26
84 53 83 53
88 2 88 3
17 83 18 83
77 2 78 2
33 78 33 77
92 91 92 90
55 49 55 48
59 33 60 33
60 39 60 40
75 14 74 14
66 85 66 84
72 83 72 82
39 88 38 88
62 9 62 8
36 82 36 81
36 34 36 33
25 20 26 20
8 77 8 78
85 41 86 41
93 4 93 5
38 34 38 35
52 50 51 50
75 91 76 91
44 93 45 93
88 69 88 70
86 46 86 45
22 85 23 85
38 13 38 14
17 95 17 94
93 72 94 72
88 43 87 43
29 46 30 46
96 40 96 41
43 48 43 47
75 38 75 39
16 61 15 61
82 75 81 75
61 25 60 25
88 49 88 48
53 7 54 7
18 26 18 25
53 73 53 74
19 41 20 41
11 63 11 62
81 23 81 22
82 8 81 8
58 36 59 36
98 22 99 22
63 98 62 98
17 79 17 80
82 55 82 56
55 62 55 63
1 5 2 5
94 48 93 48
42 97 43 97
3 87 2 87
81 94 82 94
29 89 29 88
40 17 39 17
50 65 50 64
22 9 21 9
39 38 39 39
94 67 94 66
56 88 57 88
44 63 44 62
97 25 98 25
52 3 53 3
29 94 30 94
28 94 27 94
76 65 77 65
16 47 15 47
49 82 49 81
69 80 68 80
77 7 76 7
84 3 83 3
89 15 89 16
57 49 56 49
71 33 71 34
90 20 91 20
89 88 88 88
39 54 38 54
85 67 85 66
80 78 81 78
54 14 53 14
37 15 36 15
64 26 65 26
34 67 35 67
46 91 46 92
38 21 37 21
71 64 72 64
89 62 89 61
31 1 30 1
86 12 85 12
74 86 74 87
20 12 19 12
93 93 92 93
33 83 34 83
59 38 59 37
60 7 59 7
23 6 23 5
47 87 47 86
55 95 54 95
13 98 12 98
2 18 3 18
43 46 43 47
80 35 79 35
48 44 49 44
15 52 15 53
59 35 59 36
89 62 89 63
84 22 83 22
17 90 16 90
21 14 21 15
76 62 76 63
24 79 24 80
46 79 45 79
88 94 89 94
62 63 61 63
53 57 52 57
9 34 9 33
2 91 3 91
86 44 85 44
56 85 57 85
62 45 62 46
20 72 19 72
2 83 3 83
65 61 65 62
22 10 22 11
42 31 42 30
36 7 37 7
71 83 71 84
52 31 51 31
59 57 59 58
12 64 12 65
41 16 41 17
96 84 95 84
14 52 14 53
5 72 4 72
12 78 12 77
66 72 67 72
84 86 84 87
44 47 43 47
29 59 29 58
72 80 72 81
92 85 92 84
92 58 91 58
13 98 14 98
1 44 1 43
82 38 82 37
90 14 89 14
22 64 23 64
92 96 92 97
14 33 15 33
25 16 25 17
28 59 29 59
92 44 91 44
97 54 96 54
82 87 81 87
58 59 59 59
64 1 63 1
71 56 71 57
66 23 67 23
94 17 93 17
50 85 50 84
65 50 65 51
78 89 79 89
36 51 36 50
38 58 39 58
18 53 18 52
90 71 90 70
92 95 93 95
26 27 26 26
88 45 89 45
91 84 92 84
65 70 65 69
91 15 91 14
72 62 72 63
87 96 87 95
55 2 54 2
4 49 5 49
7 86 6 86
26 35 27 35
37 88 37 87
19 8 19 7
27 97 26 97
46 58 45 58
79 87 80 87
96 83 96 84
31 66 31 65
89 86 88 86
49 50 49 51
88 41 87 41
2 96 2 95
26 80 26 81
29 82 29 81
97 76 98 76
93 25 93 24
58 23 57 23
24 23 23 23
49 6 49 7
36 72 36 71
17 21 17 20
1 43 1 44
91 20 90 20
20 42 19 42
81 79 81 78
63 74 63 73
10 91 10 90
68 29 69 29
67 9 68 9
54 70 54 71
12 45 13 45
28 85 28 84
43 47 43 46
28 97 28 98
72 97 71 97
15 86 15 85
58 31 59 31
6 88 6 87
49 15 49 16
33 70 33 69
4 67 4 66
66 66 66 67
63 6 63 5
84 25 84 24
66 11 65 11
22 69 21 69
81 9 82 9
86 81 87 81
88 55 87 55
27 69 27 70
83 10 84 10
4 59 4 58
5 12 4 12
7 23 7 22
72 10 73 10
34 53 34 54
58 81 58 82
56 41 55 41
50 87 49 87
69 1 68 1
97 96 96 96
90 10 90 9
65 14 65 13
88 39 87 39
37 98 37 99
49 51 48 51
61 21 62 21
18 96 18 97
70 38 71 38
39 87 39 86
2 71 3 71
16 6 15 6
74 77 74 78
69 71 68 71
40 27 40 26
28 53 29 53
21 24 22 24
79 33 80 33
15 24 14 24
97 71 97 72
83 71 82 71
38 86 37 86
33 13 34 13
93 75 93 76
43 46 44 46
86 84 87 84
13 37 12 37
25 41 25 42
58 43 58 42
89 75 90 75
73 73 73 72
41 55 42 55
1 41 2 41
29 92 29 93
36 47 37 47
87 94 87 93
62 60 62 61
46 40 46 41
71 14 72 14
83 78 82 78
36 18 37 18
34 94 33 94
94 10 93 10
65 81 64 81
75 75 75 76
76 28 75 28
71 34 71 35
84 20 84 19
51 29 51 28
18 60 17 60
51 47 50 47
85 31 86 31
97 66 98 66
58 21 59 21
73 73 74 73
95 94 95 95
46 6 47 6
98 63 99 63
9 34 9 33
30 6 31 6
67 47 67 48
61 59 60 59
6 84 6 83
14 91 14 90
95 34 96 34
49 84 49 85
47 76 46 76
67 33 67 34
29 67 29 68
46 45 46 46
62 78 61 78
65 18 65 19
22 30 21 30
66 83 66 82
28 20 29 20
21 47 20 47
85 30 85 31
43 93 42 93
62 87 62 88
62 27 63 27
83 53 82 53
32 6 33 6
74 76 75 76
18 81 17 81
74 19 73 19
22 34 23 34
67 52 66 52
93 94 93 93
11 28 11 29
78 61 78 62
22 29 22 30
77 19 78 19
80 85 80 84
22 93 22 92
59 77 58 77
30 49 30 50
17 14 16 14
26 67 26 68
20 78 19 78
23 61 22 61
69 65 68 65
12 62 13 62
78 70 77 70
87 84 87 85
67 54 67 53
6 90 6 91
30 62 30 63
45 76 44 76
55 18 55 17
62 30 61 30
37 77 37 78
33 25 32 25
91 96 90 96
74 67 73 67
67 1 67 2
84 27 84 26
53 47 52 47
20 55 20 54
34 69 34 70
